address,name,lat,lng,placement,racks,spaces
,Balboa and Great Hwy (Ocean Beach),37.775081, -122.511289,SIDEWALK,3,6
,Great Hwy and JFK (Ocean Beach),37.770474, -122.510950,SIDEWALK,3,6
,Great Hwy and JFK (Ocean Beach),37.770474, -122.510950,SIDEWALK,3,6
800 GREAT HWY,Ocean Beach,37.772707, -122.510420,SIDEWALK,3,6
,Great Hwy and Lincoln (Ocean Beach),37.764033, -122.510370,SIDEWALK,3,6
760 LA PLAYA,Ocean View Dental,37.774536, -122.509795,SIDEWALK,1,2
728 LA PLAYA,Fit Club,37.774536, -122.509795,SIDEWALK,1,2
,Judah and La Playa,37.760260, -122.509560,SIDEWALK,3,6
1301 GREAT HWY,Judah and La Playa,37.76136744, -122.50938083,SIDEWALK,1,2
1396 LA PLAYA,Java Beach Cafe,37.760451, -122.508931,SIDEWALK,1,2
,Judah and La Playa,37.760140, -122.508920,SIDEWALK,1,2
4245 LAWTON ST,Sunset Co-op Nursery School,37.756384, -122.508503,SIDEWALK,4,8
4300 JUDAH ST,Beachside Cafe,37.760569, -122.508258,SIDEWALK,2,4
4542 IRVING ST,Cajun Pacific Restaurant,37.76239130, -122.50692014,SIDEWALK,1,2
,Great Hwy and Sloat (Ocean Beach),37.735410, -122.506820,SIDEWALK,3,6
,Great Hwy and Sloat (Ocean Beach),37.735410, -122.506820,SIDEWALK,1,2
4541 IRVING ST,3 Fish Studios,37.762008, -122.506750,SIDEWALK,2,4
3620 WAWONA ST,,37.736322, -122.505751,SIDEWALK,1,2
3901 NORIEGA ST,The Pizza Place,37.752698, -122.505608,SIDEWALK,1,2
3901 NORIEGA ST,The Pizza Place,37.752698, -122.505608,SIDEWALK,2,4
4041 JUDAH ST,Thai Cottage,37.760229, -122.505550,SIDEWALK,1,2
4035 JUDAH ST,General Store and Two Birds Fly,37.760198, -122.505461,SIDEWALK,1,2
4033 JUDAH ST,Trouble Coffee Company,37.760201, -122.505375,SIDEWALK,1,2
4033 JUDAH ST,Trouble Coffee Company,37.760201, -122.505375,SIDEWALK,2,4
3639 TARAVAL ST,Riptide Bar,37.741572, -122.505326,SIDEWALK,3,6
3639 TARAVAL ST,Riptide Bar,37.741572, -122.505326,SIDEWALK,1,2
4019 JUDAH ST,Celia's By the Beach,37.760244, -122.505205,SIDEWALK,1,2
4001 JUDAH ST,Outerlands Cafe,37.760252, -122.505019,SIDEWALK,1,2
4001 JUDAH ST,Outerlands Cafe,37.760252, -122.505019,SIDEWALK,2,4
4001 JUDAH ST,Feel Real Coffee House,37.760252, -122.505019,SIDEWALK,2,4
4005 JUDAH ST,Wo's Restaurant,37.760252, -122.505019,SIDEWALK,1,2
3906 JUDAH ST,Judahlicious,37.760685, -122.504083,SIDEWALK,1,
3004 TARAVAL ST,Bike Nook,37.74225580, -122.49842544,SIDEWALK,1,2
3651 BALBOA ST,M D Salon,37.77546298, -122.49815170,SIDEWALK,1,2
3630 BALBOA ST,Balboa Theatre,37.775900, -122.497980,SIDEWALK,1,2
3625 BALBOA ST,Hockey Haven,37.775445, -122.497801,SIDEWALK,1,2
2833 VICENTE ST,"Urban Farmer Store, The",37.738095, -122.497688,SIDEWALK,2,4
3138 NORIEGA ST,,37.753546, -122.497577,SIDEWALK,1,2
3151 ORTEGA ST,A.P. Giannini MS,37.74968004, -122.49731133,SIDEWALK,2,4
550 37TH AVE,Marriot,37.778530, -122.497195,SIDEWALK,1,2
3512 BALBOA ST,The Sweet House,37.77599855, -122.49654984,SIDEWALK,1,2
3519 BALBOA ST,Cassava Bakery,37.775606, -122.496526,SIDEWALK,2,4
3434 BALBOA ST,Simple Pleasures Cafe,37.776028, -122.495814,SIDEWALK,1,2
3425 BALBOA ST,Elevation,37.775652, -122.495430,SIDEWALK,1,2
2717 JUDAH ST,Cloud Rest Healing Center,37.760824, -122.49172,SIDEWALK,1,2
2516 NORIEGA ST,,37.753837, -122.490726,SIDEWALK,1,2
2520 JUDAH ST,American Gymnastics & Raise the Bar Ftness,37.761409, -122.489206,SIDEWALK,2,4
2325 NORIEGA ST,,37.753442, -122.488793,SIDEWALK,1,2
1601 TARAVAL ST,El Burito,37.742567, -122.483403,SIDEWALK,1,
2221 CLEMENT ST,Mescolanza Restaurant?,37.781851, -122.483166,SIDEWALK,1,2
2328 IRVING ST,Irish Pub,37.763549, -122.483035,SIDEWALK,1,2
211 23RD AVE,Pizzetta 211,37.783760, -122.483031,SIDEWALK,1,2
2200 CLEMENT ST,4 Star Theater,37.782357, -122.482930,SIDEWALK,1,2
1541 TARAVAL ST,King of Thai Noodle,37.742489, -122.482813,SIDEWALK,1,2
2300 IRVING ST,Wells Fargo,37.763563, -122.482720,SIDEWALK,1,2
1311 24TH AVE,Olson's Cleaners,37.76307121, -122.48264239,SIDEWALK,1,2
2305 IRVING ST,Little Paris,37.763071, -122.482642,SIDEWALK,1,2
1750 NORIEGA ST,Walgreens,37.754273, -122.482641,SIDEWALK,1,2
1508 TARAVAL ST,Sevan Liquor and Deli,37.743002, -122.482415,SIDEWALK,1,2
5843 GEARY BLVD,Thom's Natural Food,37.779935, -122.482164,SIDEWALK,1,2
5843 GEARY BLVD,Thom's Natural Food,37.779935, -122.482164,SIDEWALK,1,2
2206 IRVING ST,Future Mobile Inc,37.763610, -122.481705,SIDEWALK,1,2
2201 IRVING ST,Supermarket,37.763119, -122.481613,SIDEWALK,1,2
1405 NORIEGA ST,,37.75389824, -122.47888473,SIDEWALK,1,2
1101 VICENTE ST,Accounting Office,37.738928, -122.478806,SIDEWALK,1,2
1916 IRVING ST,i Cafe (CLOSED),37.763713, -122.478596,SIDEWALK,1,2
1131 TARAVAL ST,Brown Owl Coffee,37.742768, -122.478566,SIDEWALK,1,2
1122 TARAVAL ST,Sterling Bank and Trust,37.743181, -122.478343,SIDEWALK,1,2
1744 CLEMENT ST,88 Laundromat & Cleaners,37.782530, -122.478189,SIDEWALK,1,2
1101 TARAVAL ST,French Bakery,37.742786, -122.478151,SIDEWALK,1,2
1899 IRVING ST,Lucca Foods,37.76328169, -122.47792223,SIDEWALK,1,2
1824 IRVING ST,Underdogs Sports Bar and Grill,37.763789, -122.477652,SIDEWALK,1,2
5411 GEARY BLVD,,37.780111, -122.477532,SIDEWALK,1,2
1816 IRVING ST,PPQ Beef Noodle House,37.763762, -122.477486,SIDEWALK,1,2
1722 IRVING ST,Test Magic,37.763839, -122.476504,SIDEWALK,1,
1555 IRVING ST,Woodside International School,37.763432, -122.474748,SIDEWALK,1,2
155 WINSTON DR,Merced Public Library,37.726590, -122.474489,SIDEWALK,1,2
730 TARAVAL ST,Safeway,37.743359, -122.474291,SIDEWALK,1,2
1501 IRVING ST,Bastet's Kindle,37.763450, -122.474073,SIDEWALK,1,2
750 16TH AVE,Argonne Community Garden,37.773969, -122.474057,SIDEWALK,2,4
600 VICENTE ST,St. Cecila's School,37.739871, -122.473601,SIDEWALK,3,6
5030 GEARY BLVD,House of Bagels,37.780910, -122.473486,SIDEWALK,1,2
2575 OCEAN AVE,World Team Kickboxing,37.731444, -122.473337,SIDEWALK,2,4
2550 OCEAN AVE,Walgreens,37.731721, -122.472737,SIDEWALK,1,2
2501 OCEAN AVE,Medical Offices,37.731212, -122.472622,SIDEWALK,1,2
1352 IRVING ST,Everybody Bikes,37.763987, -122.472606,SIDEWALK,1,2
1288 15TH AVE,Everybody Bikes,37.763987, -122.472606,SIDEWALK,1,2
1352 IRVING ST,Everybody Bikes,37.763987, -122.472606,SIDEWALK,1,2
1342 IRVING ST,Europa Express,37.763995, -122.472438,SIDEWALK,1,2
300 FUNSTON AVE,Internet Archive,37.782308, -122.471711,SIDEWALK,1,2
4829 GEARY BLVD,Pacifisia Investment & Realty,37.780397, -122.471218,SIDEWALK,1,2
1200 IRVING ST,Andronico's Market,37.764349, -122.471168,SIDEWALK,1,2
1200 IRVING ST,Andronico's Market,37.764349, -122.471168,SIDEWALK,1,2
1200 IRVING ST,Andronico's Market,37.764349, -122.471168,SIDEWALK,1,2
1042 CLEMENT ST,Healthy Spirits,37.782850, -122.470532,SIDEWALK,2,4
1032 CLEMENT ST,Cafe la Flore,37.782850, -122.470532,SIDEWALK,1,2
1019 CLEMENT ST,Standard Plumbing Ace Hardware,37.782465, -122.470288,SIDEWALK,2,4
4097 19TH AVE,Diala Pizza,37.714472, -122.470277,SIDEWALK,1,2
360 WEST PORTAL AVE,shopping complex,37.737403, -122.470191,SIDEWALK,1,2
4900 CALIFORNIA ST,San Francisco Free Clinic,37.784809, -122.470104,SIDEWALK,2,4
1112 IRVING ST,Mai Ling Hair Salon,37.764026, -122.469917,SIDEWALK,1,2
373 WEST PORTAL AVE,Healthy Pets,37.736885, -122.469889,SIDEWALK,1,2
345 WEST PORTAL AVE,West Portal Physical Therapy,37.737186, -122.469528,SIDEWALK,1,2
2381 OCEAN AVE,Comic Outpost,37.729796, -122.469478,SIDEWALK,1,2
701 11TH AVE,SFA Yoga,37.77491802, -122.46939521,SIDEWALK,1,2
1032 IRVING ST,UPS Store,37.764163, -122.469133,SIDEWALK,1,2
317 WEST PORTAL AVE,US Post Office,37.737588, -122.469041,SIDEWALK,1,2
200 WEST PORTAL AVE,Walgreens,37.738932, -122.468400,SIDEWALK,1,2
820 CLEMENT ST,Goodwill,37.783024, -122.468144,SIDEWALK,1,2
823 CLEMENT ST,Pizza Orgasmica,37.782533, -122.468065,SIDEWALK,1,2
351 09TH AVE,Richmond Library Branch,37.781861, -122.468039,SIDEWALK,1,2
351 09TH AVE,Richmond Library Branch,37.781861, -122.468039,SIDEWALK,1,2
837 CABRILLO ST,Diana Choy Hair Salon,37.775036, -122.467862,SIDEWALK,1,2
801 CLEMENT ST,Crossroads,37.782578, -122.467836,SIDEWALK,1,2
130 WEST PORTAL AVE,Citibank,37.739487, -122.467752,SIDEWALK,1,2
495 09TH AVE,Zion Lutheran Church,37.779241, -122.467633,SIDEWALK,1,2
106 WEST PORTAL AVE,Charles Schwab,37.739698, -122.467480,SIDEWALK,1,2
100 WEST PORTAL AVE,Starbucks,37.739698, -122.467480,SIDEWALK,1,2
746 CLEMENT ST,Walgreens,37.783071, -122.467376,SIDEWALK,1,2
48 VICENTE ST,dental office,37.73972768, -122.46663096,SIDEALK,1,2
1340 09TH AVE,Oriental Art Gallery,37.763293, -122.465930,SIDEWALK1,2
1340 09TH AVE,Oriental Art Gallery,37.763293, -122.465930,SIDEWALK,1,2
1348 09TH AVE,Bika Yoga Studio,37.763156, -122.465920,SIDEWALK,1,2
1348 09TH AVE,Bika Yoga Studio,37.763156, -122.465920,SIDEWALK,1,2
625 CLEMENT ST,Wycen Foods,37.782666, -122.465909,SIDEWALK,1,2
1360 09TH AVE,Nan King Road Bistro,37.762916, -122.465903,SIDEWALK,1,2
1360 09TH AVE,Nan King Road Bistro,37.762916, -122.465903,SIDEWALK,1,2
734 IRVING ST,Yancy's Saloon,37.764306, -122.465884,SIDEWALK,1,2
520 CLEMENT ST,Green Apple Books,37.783189, -122.464885,SIDEWAL,0,2
515 BALBOA ST,SF Hardware,37.777077, -122.464284,SIDEWALK,1,
4334 CALIFORNIA ST,6th Avenue Salon,37.785313, -122.464096,SIDEWALK,1,2
